titulo,url,nome_do_canal,data,fonte,dici_teste_id
O que é o Câncer de boca [076] Dr. Rogério Leite,https://www.youtube.com/watch?v=b3aMBgoVbiQ,,Acesso em: 4/5/2024,Youtube,26
OLHO CLÍNICO - CROMOBLASTOMICOSE (30/03/15),https://www.youtube.com/watch?v=QfxAo16ZCHc,,Acesso em: 4/5/2024,Youtube,27
Cromoblastomicose,https://www.youtube.com/watch?v=ed_oa6izqTU,,Acesso em: 4/5/2024,Youtube,27
Cromomicose MED 2021,https://www.youtube.com/watch?v=_B3eoPS3Otw,,Acesso em: 4/5/2024,Youtube,27
Aedes aegypti - características,https://www.youtube.com/watch?v=6k6wti3aB6E,,Acesso em: 4/5/2024,Youtube,28
"Dengue, Zika e Chikungunya: As doenças do Aedes",https://www.youtube.com/watch?v=qM7MT5YTSLQ,,Acesso em: 4/5/2024,Youtube,28
"Aedes Aegypti - biologia do vetor, ciclo de transmissão, doenças, transmissão, fases e controle.",https://www.youtube.com/watch?v=F2n68hrj0Vo,,Acesso em: 4/5/2024,Youtube,28
Como o HIV afeta as mulheres?,https://www.youtube.com/watch?v=36ka2akX99s,,Acesso em: 4/5/2024,Youtube,29
HIV/AIDS-Videoaula (Resumo),https://www.youtube.com/watch?v=aZKJQ18ROj8,,Acesso em: 4/5/2024,Youtube,29
Como Posso Desconfiar que Tenho HIV?,https://www.youtube.com/watch?v=mQAidM3Ybdw,,Acesso em: 4/5/2024,Youtube,29
Você e o Doutor tira dúvidas sobre o câncer de mama,https://www.youtube.com/watch?v=3vdPmYewANU,,Acesso em: 4/5/2024,Youtube,30
Você e o Doutor explica tudo sobre o câncer de mama,https://www.youtube.com/watch?v=pUKPi0kybBc,,Acesso em: 4/5/2024,Youtube,30
O que é o câncer de mama?,https://www.youtube.com/watch?v=VOAL2FS6cFI,,Acesso em: 4/5/2024,Youtube,30
"CÂNCER DE PÊNIS: o que Causa, Como Identificar,  e a Vida Após a Cirurgia,@universooncologia",https://www.youtube.com/watch?v=SLwiR60QDJw,,Acesso em: 4/5/2024,Youtube,31
"CÂNCER DE PÊNIS: SINTOMAS, DIAGNÓSTICO, CAUSAS, TRATAMENTO E PREVENÇÃO?",https://www.youtube.com/watch?v=I0F-mDaeKOw,,Acesso em: 4/5/2024,Youtube,31
