titulo,url,nome_do_canal,data,fonte,anatomia_id
Tímpano Furado: Consequências.,https://www.youtube.com/watch?v=TlNdQxeNnnQ,,Acesso em: 11/5/2024,Youtube,49
Tímpano Perfurado: Posso Pingar Remédio?,https://www.youtube.com/watch?v=QHp3OOiTRCo,,Acesso em: 11/5/2024,Youtube,49
Dr. Felippe Felix - Tímpano Perfurado,https://www.youtube.com/watch?v=wwCs6gYQDlg,,Acesso em: 11/5/2024,Youtube,49
Tireóide e Paratireóides: Sistema Endócrino,https://www.youtube.com/watch?v=RJeP3n5o2oc,,Acesso em: 11/5/2024,Youtube,50
SINTOMAS DA TIREOIDE,https://www.youtube.com/watch?v=kK4sKhXjrbw,,Acesso em: 11/5/2024,Youtube,50
[#1] TIREOIDE: Hormônios tireoidianos T3 (triiodotironina) e T4 (tiroxina) | MK Fisiologia,https://www.youtube.com/watch?v=XhxKjEi9Ois,,Acesso em: 11/5/2024,Youtube,50
Tibia - PRIMEIROS PASSOS - GUIA COMPLETO para INICIANTES!,https://www.youtube.com/watch?v=FV5fNNxoZ8g,,Acesso em: 11/5/2024,Youtube,51
A REAL SITUAÇÃO DO TIBIA EM 2024,https://www.youtube.com/watch?v=djrUfFmMjbk,,Acesso em: 11/5/2024,Youtube,51
Acidentes ósseos da Tíbia - Sistema Ósseo/Esquelético - VideoAula 066,https://www.youtube.com/watch?v=DH493FwEKAM,,Acesso em: 11/5/2024,Youtube,51
Anatomia das tonsilas e língua - Boca e Faringe,https://www.youtube.com/watch?v=-AMUD3UUry4,,Acesso em: 11/5/2024,Youtube,52
Tonsila Palatina (com legenda em português),https://www.youtube.com/watch?v=dPsTfULzV_s,,Acesso em: 11/5/2024,Youtube,52
Aula | Histologia da Tonsila Palatina | Histology Guide,https://www.youtube.com/watch?v=hCTorDx-kxs,,Acesso em: 11/5/2024,Youtube,52
MÚSCULOS DO ABDÔMEN E TÓRAX CHEGA DE QUEBRAR A CABEÇA POR NADA,https://www.youtube.com/watch?v=Of2-euhSZ74,,Acesso em: 11/5/2024,Youtube,53
Corpo Humano: Anatomia do Tórax e Abdôme,https://www.youtube.com/watch?v=sbFV6TGz3UA,,Acesso em: 11/5/2024,Youtube,53
CAIXA TORÁCICA: Anatomia para colorir!,https://www.youtube.com/watch?v=9GHLJjtr-L0,,Acesso em: 11/5/2024,Youtube,53
Hipófise: Sistema Endócrino | Anatomia e etc,https://www.youtube.com/watch?v=4dtyvpswmhE,,Acesso em: 11/5/2024,Youtube,54
HIPÓFISE - Suas funções e principais doenças,https://www.youtube.com/watch?v=__UfJHiG7wg,,Acesso em: 11/5/2024,Youtube,54
NEURO-HIPÓFISE (OCITOCINA E VASOPRESSINA) | Introdução ao eixo hipotálamo-hipófise | MK Fisiologia,https://www.youtube.com/watch?v=MUqupOLUNBM,,Acesso em: 11/5/2024,Youtube,54
"😯 Torceu o tornozelo, veja  2 formas para melhorar a dor",https://www.youtube.com/watch?v=dEg2mp5zWIo,,Acesso em: 11/5/2024,Youtube,55
Fisioterapia para Tornozelo,https://www.youtube.com/watch?v=mt0O5Vp31Ag,,Acesso em: 11/5/2024,Youtube,55
Alivio de DORES NO TORNOZELO - técnicas de terapia manual - Mobilidade Articular do tornozelo,https://www.youtube.com/watch?v=gRKKkBHlCEw,,Acesso em: 11/5/2024,Youtube,55
RESUMÃO de ARTICULAÇÕES!,https://www.youtube.com/watch?v=g91cLHOGmEk,,Acesso em: 11/5/2024,Youtube,56
Articulações: definição e classificação | Anatomia etc,https://www.youtube.com/watch?v=RsanA4Cb24Q,,Acesso em: 11/5/2024,Youtube,56
Articulações Sinoviais | Anatomia etc,https://www.youtube.com/watch?v=-YxcgPxpFYs,,Acesso em: 11/5/2024,Youtube,56
Glande sensível: como acabar para sempre com esse desconforto,https://www.youtube.com/watch?v=O2LbiqmbBkI,,Acesso em: 11/5/2024,Youtube,57
Glande Murcha ou Perda de Sensibilidade após a Prótese Peniana | Dr. Marco Túlio - Andrologista,https://www.youtube.com/watch?v=nC2Eb7FXiAk,,Acesso em: 11/5/2024,Youtube,57
Pênis vermelho...Mancha vermelha na glande. Por que acontece? Como tratar? Quero me livrar disso!!!,https://www.youtube.com/watch?v=_tiMRjnpyA0,,Acesso em: 11/5/2024,Youtube,57
Derme: Sistema Tegumentar 3/4 | Anatomia etc,https://www.youtube.com/watch?v=A303kIKlSs4,,Acesso em: 11/5/2024,Youtube,58
